HMC1,1.03,7.80317767,249.18623241401147,213.58819921200984
HMC2,0.918,13.341750911,749.5268099897746,749.5268099897746
HMC3,0.736,19.122473174,167.05184603358697,130.73622733063326
HMC5,0.822,31.564462955,158.40598989845859,158.40598989845859
HMC7,1.15,40.576750848,246.44654367373755,246.44654367373755
MALA,1.1,7.603580809,263.03396389668063,263.03396389668063
SMMALA,0.953,79.894054206,24.337786632167397,20.8609599704292
MAMALA(i=0),1.15,56.706836202,12.258466912344112,9.796976745035929
MAMALA(i=25000),0.527,3.318098657,74.75895252735864,52.87323091527597
MAMALA(i=50000),1.03,2.5945834,67.76621365955596,43.30543029058066
MAMALA(i=1e6),0.736,2.590805398,85.73622990358534,56.76181763513979
DEMCMC,NaN,60.080417637,113.07994643235486,109.25342432603786
