HMC1,0.40151678358667475,28.239792893,1.509376345907095,0.6169168043642014
HMC2,0.17308985134421234,47.801692917,0.28096603464469727,0.09526302906965273
HMC3,0.1402534588068343,65.973370875,3.3175929678926734,1.1841899081983205
HMC5,0.12625092475657124,100.785446801,3.2286503869752745,0.44693997471664826
HMC7,0.19228730706087754,123.253070122,4.987501570917772,1.2878393907189682
MALA,0.0604618569578326,24.727780453,2.5049185022527984,1.3129982502571704
SMMALA,0.12625092475657124,1633.547745364,0.06961800325284447,0.013336918027990072
MAMALA(i=0),0.40151678358667475,1218.941758443,0.18231943633267303,0.0349099464306781
MAMALA(i=25000),0.838410657291842,29.14644972,3.2574636748214174,0.6104892526186487
MAMALA(i=50000),0.61153279632994,19.81473311,4.279524706218256,1.9262403747459667
MAMALA(i=1e6),0.61153279632994,22.896221275,5.499929912587338,0.3164878922403847
DEMCMC,NaN,217.782841765,10.342198611375027,5.006677580377692
AIMCMC,NaN,224.63033101,5.084706240585419,2.4832632679078417
