23585270766599205e-23,-17922034675320333e-25,-50944446941162414e-24,-6733189634610575e-25,44697127953712264e-24,-28929186537927385e-24,17337092153754497e-24,-2402152533775571e-25,-5049769046090731e-23,2538017432760636e-23,201388998473448e-22,12937682102764607e-24
-17922034675320333e-25,18240343390918285e-27,41438548357970835e-26,14221203539457501e-27,-3574651018684259e-25,2335283216741196e-25,-1435174247566428e-25,20515908433710103e-28,4206560920917808e-25,-21370820220409967e-26,-13544102186909043e-26,-10063508372591247e-26
-50944446941162414e-24,41438548357970835e-26,2511614908910445e-22,31999461683676323e-25,-970633515222036e-22,5012299938773868e-23,-52273386912129155e-24,6579133197194896e-25,13839252530203703e-23,-7676128330756759e-23,-31176846320970514e-25,29516321671325826e-25
-6733189634610575e-25,14221203539457501e-27,31999461683676323e-25,11464774881911059e-23,-7302685203435768e-24,-8436072111497532e-25,1619053586402457e-23,-1422668911394335e-25,5024988267323599e-24,9712016245219769e-24,4147776344447566e-24,-8040720645574073e-24
44697127953712264e-24,-3574651018684259e-25,-970633515222036e-22,-7302685203435768e-24,18334057186245808e-23,-3359050045117944e-23,5073590016472942e-23,-6288635628251728e-25,-10298588938361331e-23,3979361794349614e-23,-7549748166013576e-25,28837420498358378e-25
-28929186537927385e-24,2335283216741196e-25,5012299938773868e-23,-8436072111497532e-25,-3359050045117944e-23,13649414368140147e-23,-11776679219412388e-24,1666684568213681e-25,3200620591350022e-23,-1546896782708024e-23,10083307690827122e-25,-1363888141377444e-23
17337092153754497e-24,-1435174247566428e-25,-52273386912129155e-24,1619053586402457e-23,5073590016472942e-23,-11776679219412388e-24,31955335705681243e-23,-3245606848168957e-24,-9468871223094377e-23,8862836611603604e-24,1602494272069903e-23,-2264720831272212e-23
-2402152533775571e-25,20515908433710103e-28,6579133197194896e-25,-1422668911394335e-25,-6288635628251728e-25,1666684568213681e-25,-3245606848168957e-24,44080507374041043e-27,12197840660156573e-25,-18366490594093327e-26,-13401808387812065e-26,2153601172267829e-25
-5049769046090731e-23,4206560920917808e-25,13839252530203703e-23,5024988267323599e-24,-10298588938361331e-23,3200620591350022e-23,-9468871223094377e-23,12197840660156573e-25,22747427104189133e-23,-5306769712607879e-23,-45577682876515316e-24,32064466809338666e-25
2538017432760636e-23,-21370820220409967e-26,-7676128330756759e-23,9712016245219769e-24,3979361794349614e-23,-1546896782708024e-23,8862836611603604e-24,-18366490594093327e-26,-5306769712607879e-23,21422320303713773e-23,12311265996463287e-24,-4437443716668545e-24
201388998473448e-22,-13544102186909043e-26,-31176846320970514e-25,4147776344447566e-24,-7549748166013576e-25,10083307690827122e-25,1602494272069903e-23,-13401808387812065e-26,-45577682876515316e-24,12311265996463287e-24,13340651749923174e-23,-1559313365028302e-23
12937682102764607e-24,-10063508372591247e-26,29516321671325826e-25,-8040720645574073e-24,28837420498358378e-25,-1363888141377444e-23,-2264720831272212e-23,2153601172267829e-25,32064466809338666e-25,-4437443716668545e-24,-1559313365028302e-23,1804107365518244e-22
