HMC1,0.918,52.563764824,27.49495018245376,19.024512482093208
HMC2,0.822,88.485550542,71.57477457663772,37.67093398770406
HMC3,0.717,119.77448885,27.830077718034303,27.830077718034307
HMC5,0.736,187.400800856,13.073583404174437,10.67231298299954
HMC7,1.03,254.321593332,6.55806343852158,4.915036838292405
MALA,0.974,56.765801799,28.26987118836353,25.166057437712343
SMMALA,0.464,2873.547543915,0.20534439348894656,0.13384688394310473
MAMALA(i=0),0.88,1824.681229167,0.23500797971545676,0.15658312320378254
MAMALA(i=25000),0.88,37.212789936,4.456376127939946,3.1247071226700043
MAMALA(i=50000),0.88,22.598156924,10.774392308965842,7.137322000333108
MAMALA(i=1e6),0.88,22.992872687,11.349708404016678,9.454725701618726
DEMCMC,NaN,614.561048423,10.295103511176352,9.067940415175984
