10819723508529112e-22,-7898526175130728e-24,-28146914645657534e-23,-5913898897026499e-22,8708194280106076e-23,-3440715902386054e-22,11045977258537351e-24,-19171850858076214e-22,1833913763201685e-23,47076798317714033e-23,16749855066687444e-22,993477659563215e-22,21852025490630204e-24,-1892372077735345e-23
-7898526175130728e-24,6221376671434056e-26,20766728487886057e-25,42999657318194224e-25,-6019998502137034e-25,24719981599481244e-25,-7745667044160098e-26,13860601263039446e-24,-13262046847667034e-26,-3425123556719349e-24,-12173013155977633e-24,-6901553677520006e-25,-20470375137368998e-26,13657037068747588e-26
-28146914645657534e-23,20766728487886057e-25,877763609781321e-22,17291940781504444e-23,-4670823782569652e-23,10175628251189288e-23,-3968573446308296e-24,5743430760651628e-22,-5474163432212202e-24,-13019994272222681e-23,-4692033384999959e-22,-4552973433344211e-23,1549141842779476e-23,5903017351453054e-24
-5913898897026499e-22,42999657318194224e-25,17291940781504444e-23,3850319396409572e-22,-56213237139816216e-24,1859670307946017e-22,-7213610768281181e-24,1159972246698301e-21,-1108487069291719e-23,-2799649860998942e-22,-9995771034965508e-22,-6698796232157643e-23,19970133574501604e-24,11631094875391159e-24
8708194280106076e-23,-6019998502137034e-25,-4670823782569652e-23,-56213237139816216e-24,7912163930354852e-23,-3923775710734166e-23,19969247517602615e-25,-2585826384411067e-22,24311592013592172e-25,40385878671788537e-24,1476240763718814e-22,5654004219148257e-23,-20395546844274406e-24,-30126791650270934e-25
-3440715902386054e-22,24719981599481244e-25,10175628251189288e-23,1859670307946017e-22,-3923775710734166e-23,16964888471806783e-23,-5679007476134449e-24,6835567249205566e-22,-6501276044060669e-24,-15542912530755895e-23,-5667581011407635e-22,-4742019412486341e-23,19378591070954196e-24,7084375574280305e-24
11045977258537351e-24,-7745667044160098e-26,-3968573446308296e-24,-7213610768281181e-24,19969247517602615e-25,-5679007476134449e-24,32254160766400286e-26,-26835585506043608e-24,25564956276973797e-26,58265225071980535e-25,2094515414727415e-23,28116839474588283e-25,-2536111828897584e-24,-2802560563121117e-25
-19171850858076214e-22,13860601263039446e-24,5743430760651628e-22,1159972246698301e-21,-2585826384411067e-22,6835567249205566e-22,-26835585506043608e-24,3996413050308248e-21,-38186734368878724e-24,-908891791557045e-21,-3261402483030998e-21,-31378544636216424e-23,11081785066521863e-23,4015666006296532e-23
1833913763201685e-23,-13262046847667034e-26,-5474163432212202e-24,-1108487069291719e-23,24311592013592172e-25,-6501276044060669e-24,25564956276973797e-26,-38186734368878724e-24,375478722526306e-24,8573686728043342e-24,31246077315604716e-24,3004319410953957e-24,-1041437642831322e-24,-3821759005564734e-25
47076798317714033e-23,-3425123556719349e-24,-13019994272222681e-23,-2799649860998942e-22,40385878671788537e-24,-15542912530755895e-23,58265225071980535e-25,-908891791557045e-21,8573686728043342e-24,2394898823385073e-22,8040444066394443e-22,6797320490100633e-23,-9817581976411547e-24,-9019076925395696e-24
16749855066687444e-22,-12173013155977633e-24,-4692033384999959e-22,-9995771034965508e-22,1476240763718814e-22,-5667581011407635e-22,2094515414727415e-23,-3261402483030998e-21,31246077315604716e-24,8040444066394443e-22,2831109073263695e-21,19921967001093705e-23,-48714043638874884e-24,-32602740877559585e-24
993477659563215e-22,-6901553677520006e-25,-4552973433344211e-23,-6698796232157643e-23,5654004219148257e-23,-4742019412486341e-23,28116839474588283e-25,-31378544636216424e-23,3004319410953957e-24,6797320490100633e-23,19921967001093705e-23,909069536080977e-22,-2274313962324896e-23,-31202410941462e-22
21852025490630204e-24,-20470375137368998e-26,1549141842779476e-23,19970133574501604e-24,-20395546844274406e-24,19378591070954196e-24,-2536111828897584e-24,11081785066521863e-23,-1041437642831322e-24,-9817581976411547e-24,-48714043638874884e-24,-2274313962324896e-23,7153896123388214e-23,14554897672100483e-25
-1892372077735345e-23,13657037068747588e-26,5903017351453054e-24,11631094875391159e-24,-30126791650270934e-25,7084375574280305e-24,-2802560563121117e-25,4015666006296532e-23,-3821759005564734e-25,-9019076925395696e-24,-32602740877559585e-24,-31202410941462e-22,14554897672100483e-25,42252558980250374e-26
