HMC1,0.918,54.041995084,26.94847227763399,20.560142337159448
HMC2,0.822,84.482417769,80.88468007648284,39.455941500723334
HMC3,0.717,115.14957298,28.94785666215445,28.947856662154454
HMC5,0.736,175.354883903,14.732029561049123,11.405442240812226
HMC7,1.03,229.597688964,7.445736136272068,6.222063623625684
MALA,0.974,52.445067642,29.993590317274037,21.186188922393367
SMMALA,0.464,2645.133840074,0.23551657425978578,0.1718421380646426
GAMC(i=0),0.88,1676.751760942,0.20630067995663123,0.06855071299943494
GAMC(i=25000),0.88,33.962682436,6.743823235515154,3.5907416836700867
GAMC(i=50000),0.88,23.471799837,10.500792427871634,7.746239448223777
GAMC(i=1e6),0.88,23.471846601,9.546777277743743,4.532365115187481
DEMCMC,NaN,614.561048423,10.295103511176352,9.067940415175984
AIMCMC,NaN,640.493713966,3.055992459707756,2.755334983868344
