HMC1,1.15,51.629929204,15.260681886561306,6.4562035716971025
HMC2,0.838,80.964819545,25.810791571144794,2.166849719139062
HMC3,0.755,113.91967841,66.37230034918522,9.753460741981662
HMC5,0.838,156.592729583,8.417538645747317,2.776518487502328
HMC7,0.755,222.058403583,3.245728310334543,2.04696353396757
MALA,0.55,51.164912653,16.220147899383257,10.858135521960696
SMMALA,0.755,2943.73029993,0.22373013107718856,0.1095822688542361
MAMALA(i=0),0.402,1841.738796104,0.18699161590112393,0.1324305268153875
MAMALA(i=25000),0.55,41.56030876,5.013676848888852,3.819272846281875
MAMALA(i=50000),0.612,22.364766219,7.550096733404095,3.312088011505544
MAMALA(i=1e6),1.42,22.390835397,8.495741614211541,6.202934657252569
DEMCMC,NaN,609.394472537,8.92702049658587,6.47180525033612
