HMC1,0.0544,29.689417331,0.3867257994671683,0.2113051142605281
HMC2,0.0584,47.062401847,0.18814146822622016,0.08719074390160661
HMC3,0.0421,72.111218305,0.2360673667868854,0.06100953730589447
HMC5,0.049,111.51457771,0.5194620643692526,0.2902083316056308
HMC7,0.0397,153.674090818,0.8730063229405387,0.6256997887023358
MALA,0.00538,34.581015901,0.22872801966459325,0.1035730674128028
SMMALA,0.283,1983.971116055,0.13699137089808947,0.01180420599753498
MAMALA(i=0),0.868,1160.26524635,0.21783121229997837,0.00916884988652959
MAMALA(i=25000),0.14,30.24919036,3.051485682553325,0.26489371839241893
MAMALA(i=50000),0.349,12.671520318,8.043235788587953,3.6367340423464847
MAMALA(i=1e6),0.349,12.391554279,9.49242585682641,2.4830808207308963
DEMCMC,NaN,270.934276506,2.824947078398103,1.3403016207786194
